Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
518,535,506,490,469,176,211,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,535,498,490,469,176,212,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,534,498,490,469,175,211,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,534,500,490,469,175,212,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,534,507,490,468,175,211,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,535,507,491,469,176,211,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,534,507,490,469,175,212,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,535,507,490,469,176,212,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,535,508,491,469,177,213,174,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,536,508,491,469,177,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,537,508,492,469,177,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,536,507,491,469,175,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,536,508,492,469,175,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
520,537,508,492,469,174,213,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,536,507,491,469,174,213,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
518,537,509,492,470,175,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,537,508,492,469,175,213,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,537,509,492,470,175,212,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
519,537,508,493,470,175,212,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
520,537,509,493,471,176,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
521,538,509,492,471,176,213,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
520,539,508,493,472,175,214,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
520,539,508,493,471,176,214,175,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
520,539,508,493,472,177,214,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,540,510,494,472,178,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,541,511,494,472,178,216,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,540,510,495,472,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,540,511,495,473,179,216,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,512,495,473,178,216,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,512,496,473,178,216,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,512,496,471,177,216,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,514,496,472,177,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,543,514,497,472,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,513,495,471,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,542,513,496,470,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,542,514,496,471,179,214,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,542,514,495,471,180,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,542,514,495,469,179,214,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,541,514,495,469,179,214,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,541,515,495,469,179,214,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,541,515,495,468,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,540,514,495,467,179,215,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,540,515,494,467,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,540,515,495,467,179,215,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
522,541,515,495,466,177,215,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,541,514,494,465,176,215,174,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,515,496,464,176,215,173,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,515,495,463,176,214,174,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,542,516,496,464,174,214,174,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,543,516,497,464,173,215,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,543,515,496,463,173,215,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,544,517,497,464,171,216,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
523,544,517,496,464,170,216,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,544,516,497,464,169,216,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,544,517,498,464,168,217,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,543,516,497,464,168,217,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,545,517,498,464,170,217,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,545,517,498,464,170,217,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,544,518,498,463,170,217,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
524,544,518,497,464,170,217,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,545,518,498,464,171,218,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,546,518,498,463,171,218,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,518,499,464,172,218,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,547,518,499,464,173,218,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,546,518,499,464,173,218,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,546,519,500,464,173,218,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,519,499,464,174,217,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,519,499,464,174,217,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,520,499,465,174,218,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,547,519,499,464,174,217,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,519,499,465,174,217,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,520,500,465,175,218,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,520,499,465,175,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,519,499,466,175,219,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,513,499,466,174,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,515,499,466,174,218,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,527,498,466,174,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,547,527,499,466,174,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,547,529,499,465,174,219,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,531,500,466,175,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,529,500,467,174,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,529,500,467,176,218,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,528,500,465,175,219,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,548,528,500,465,176,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
528,549,527,500,464,176,219,176,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
528,549,527,501,464,176,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
528,549,527,501,464,176,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,548,525,500,465,176,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
528,549,524,500,465,176,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
528,549,523,500,465,175,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,521,500,465,175,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,521,500,464,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,523,500,465,175,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,523,500,465,175,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,550,523,500,465,176,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,523,501,465,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,523,500,464,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,548,523,499,464,176,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,523,500,465,175,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,464,175,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,522,500,465,175,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,522,500,464,176,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,523,500,464,176,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,523,500,464,177,219,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,465,177,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
527,549,522,500,465,175,220,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,466,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,523,500,465,176,221,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,464,176,221,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,548,522,500,464,175,221,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,465,175,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,521,499,465,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,521,500,465,176,220,179,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,548,522,500,464,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,549,522,500,464,176,221,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
525,549,521,500,464,176,220,178,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
526,550,522,500,464,175,219,177,lean left,"241.06185567010309,146.98969072164948,83.28865979381443,73.63917525773196,74.22680412371135,134.82474226804123,195.09278350515464,185.4742268041237"
